Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
58,EVT,10000,normal,0.25,0.1,14,8,174.528523,58,1,3,2.05,0,0.25,0.1,0.0507,0.005,0.0895,0.0069,15,"[(30, 0.9872), (31, 0.9944), (34, 1.0), (35, 1.0), (36, 0.9925), (43, 0.9991), (44, 0.9919), (46, 1.0), (47, 0.9888), (48, 0.9986), (49, 0.988), (50, 1.0), (52, 0.9947), (53, 0.998), (54, 0.9866), (56, 0.9896), (57, 0.9999), (58, 1.0), (59, 0.9929)]",0.994852632,0.9866,12,1,12,7,19,19
59,Scenario,10000,normal,0.25,0.1,8,8,444.5856991,57,1,3,0.98,500,0,0,0.2293,0.01,0.0602,0.0019,25,"[(30, 0.9997), (31, 0.9774), (34, 1.0), (43, 1.0), (44, 1.0), (49, 0.9798), (50, 1.0), (52, 0.9905), (54, 1.0), (56, 1.0), (57, 1.0), (58, 0.9883)]",0.994641667,0.9774,5,1,5,7,12,12
60,Scenario,10000,normal,0.25,0.1,12,8,1423.163303,57,1,3,0.98,500,0,0,0.3389,0.0672,0.0767,0.0125,30,"[(30, 0.9997), (31, 1.0), (34, 1.0), (35, 1.0), (36, 0.9997), (43, 1.0), (44, 0.9999), (47, 0.9928), (48, 1.0), (49, 1.0), (50, 0.9712), (52, 1.0), (53, 0.9905), (54, 0.9963), (56, 0.994), (57, 1.0), (58, 0.9799)]",0.995529412,0.9712,9,0.941176471,8,8,16,17
61,Deterministic ,10000,normal,0.25,0.1,10,8,6.458598137,59,1,3,0.98,0,0,0,13.5575,0.2883,0.9853,0.1363,91,"[(30, 0.4396), (31, 0.6712), (32, 0.6361), (33, 0.7899), (34, 1.0), (35, 1.0), (36, 0.6723), (43, 0.845), (44, 0.7883), (45, 0.9796), (49, 0.4982), (50, 0.9065), (52, 0.5544), (53, 0.5538000000000001), (54, 0.6945), (55, 0.692), (56, 1.0), (57, 0.9987), (58, 0.5755), (59, 0.7796)]",0.75376,0.4396,9,0.25,2,3,5,20
62,Scenario,10000,normal,0.25,0.1,18,8,790.976135,59,1,3,0.98,50,0,0,1.3041,0.3796,0.2282,0.0628,40,"[(30, 0.998), (31, 0.9998), (32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 1.0), (36, 1.0), (42, 0.984), (43, 0.9767), (45, 0.9988), (46, 0.9979), (47, 0.9986), (48, 0.9997), (49, 0.9772), (50, 0.9978), (51, 0.952), (52, 0.9686), (53, 0.9892), (54, 0.9963), (55, 0.9991), (56, 0.9917), (57, 0.997), (58, 0.9885), (59, 1.0)]",0.988591667,0.9476,17,0.875,15,6,21,24
63,EVT,10000,normal,0.25,0.1,14,8,174.315676,58,1,3,2.05,0,0.25,0.1,0.0507,0.005,0.0895,0.0069,15,"[(30, 0.9872), (31, 0.9944), (34, 1.0), (35, 1.0), (36, 0.9925), (43, 0.9991), (44, 0.9919), (46, 1.0), (47, 0.9888), (48, 0.9986), (49, 0.988), (50, 1.0), (52, 0.9947), (53, 0.998), (54, 0.9866), (56, 0.9896), (57, 0.9999), (58, 1.0), (59, 0.9929)]",0.994852632,0.9866,12,1,12,7,19,19
64,Deterministic ,10000,normal,0.25,0.1,12,8,34.86314797,59,1,3,0.98,0,0,0,9.0218,0.1758,0.9728,0.0872,69,"[(30, 0.4396), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.6612), (43, 0.7692), (44, 0.7883), (47, 0.8421), (48, 0.8396), (49, 0.4982), (50, 0.6649), (52, 0.9957), (53, 0.5538000000000001), (54, 1.0), (55, 0.6496), (56, 0.8468), (57, 0.9987), (58, 0.7024), (59, 0.9773)]",0.784136842,0.4396,11,0.315789474,4,2,6,19
65,Scenario,10000,normal,0.25,0.1,14,8,2897.400125,58,1,3,0.98,300,0,0,0.3595,0.1623,0.0769,0.0295,30,"[(30, 1.0), (31, 0.9774), (34, 0.9964), (35, 1.0), (36, 0.9993), (43, 1.0), (44, 0.9999), (46, 0.9951), (47, 0.9928), (48, 1.0), (49, 0.9973), (50, 1.0), (52, 1.0), (53, 0.9905), (54, 0.9935), (56, 0.9914), (57, 1.0), (58, 0.9799), (59, 1.0)]",0.995447368,0.9774,12,1,12,7,19,19
66,Deterministic ,10000,normal,0.25,0.1,12,8,25.094383,59,1,3,0.98,0,0,0,9.0218,0.1758,0.9728,0.0872,69,"[(30, 0.4396), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.6612), (43, 0.7692), (44, 0.7883), (47, 0.8421), (48, 0.8396), (49, 0.4982), (50, 0.6649), (52, 0.9957), (53, 0.5538000000000001), (54, 1.0), (55, 0.6496), (56, 0.8468), (57, 0.9987), (58, 0.7024), (59, 0.9773)]",0.784136842,0.4396,11,0.315789474,4,2,6,19
67,Deterministic ,10000,normal,0.25,0.1,8,8,4.689583063,60,1,3,0.98,0,0,0,10.0032,0.1726,0.9786,0.0879,81,"[(30, 0.49870000000000003), (31, 0.6712), (34, 1.0), (35, 1.0), (36, 0.6464), (43, 0.7692), (44, 0.7883), (47, 0.7806), (48, 1.0), (49, 0.4488), (50, 0.9065), (52, 0.9699), (53, 0.5538000000000001), (54, 0.6945), (55, 0.7128), (56, 0.5905), (57, 0.8009), (58, 0.6698999999999999), (59, 0.9773)]",0.762068421,0.4488,8,0.210526316,1,3,4,19
68,Scenario,10000,normal,0.25,0.1,12,8,68.23053384,58,1,3,0.98,50,0,0,0.806,0.016,0.156,0.0029,20,"[(30, 0.9924), (31, 1.0), (34, 0.9476), (35, 1.0), (36, 1.0), (43, 1.0), (44, 1.0), (47, 0.9927), (48, 0.9997), (49, 1.0), (50, 0.9884), (52, 0.9997), (53, 0.9297), (54, 0.9803), (56, 1.0), (57, 1.0), (58, 0.9983), (59, 1.0)]",0.990488889,0.9297,10,0.888888889,9,7,16,18
69,Scenario,10000,normal,0.25,0.1,10,8,44.27828717,58,1,3,0.98,50,0,0,1.0171,0.1967,0.1587,0.0321,38,"[(32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 0.9788), (36, 0.9484), (43, 1.0), (44, 1.0), (45, 0.9988), (50, 1.0), (52, 0.9686), (53, 1.0), (54, 1.0), (56, 0.9996), (57, 1.0), (58, 0.9992), (59, 1.0)]",0.98804375,0.9476,8,0.8125,7,6,13,16
