Column1,Method,NumSimulationScenario,Distribution,TravelCov,ScenarioCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
109,Scenario,10000,normal,0.25,0.1,10,8,100.4533081,57,1,3,0.98,100,0,0,0.8648,0.0784,0.1205,0.0157,50,"[(34, 0.9901), (43, 0.9854), (44, 0.987), (50, 0.9891), (52, 0.9672), (54, 0.9804), (56, 0.96), (57, 0.9993), (58, 0.9983), (59, 1.0)]",0.98568,0.96,7,0.8,5,3,8,10
110,Scenario,10000,normal,0.25,0.1,12,8,149.5703962,57,1,3,0.98,100,0,0,0.6439,0.0288,0.1046,0.0054,45,"[(30, 0.9964), (31, 0.979), (34, 0.9998), (35, 1.0), (36, 0.9995), (43, 0.9854), (44, 0.987), (47, 0.9823), (48, 0.9971), (49, 1.0), (50, 1.0), (52, 0.9912), (54, 0.9691), (56, 0.9788), (57, 1.0), (58, 1.0), (59, 1.0)]",0.992094118,0.9691,9,0.941176471,8,8,16,17
111,Scenario,10000,normal,0.25,0.1,12,8,49.31202507,58,1,3,0.98,10,0,0,5.2928,0.1274,0.4185,0.0231,96,"[(30, 0.9206), (31, 0.979), (34, 1.0), (35, 1.0), (36, 0.9822), (43, 0.9854), (44, 0.8759), (47, 0.7934), (48, 0.9742999999999999), (49, 1.0), (50, 0.9286), (52, 0.9621), (53, 0.8683), (54, 0.9957), (56, 0.9742), (57, 0.9993), (58, 0.9491), (59, 0.972)]",0.953338889,0.7934,10,0.444444444,3,5,8,18
112,Scenario,10000,normal,0.25,0.1,18,8,685.1271951,58,1,3,0.98,10,0,0,4.4407,0.7577,0.3902,0.1232,97,"[(30, 0.9806), (31, 0.979), (32, 0.9978), (33, 0.9979), (34, 1.0), (35, 0.9410000000000001), (36, 0.9317), (42, 0.9748), (43, 0.9649), (45, 0.9918), (46, 0.9512), (47, 0.9662), (48, 1.0), (49, 0.9599), (50, 0.8949), (52, 0.9816), (53, 1.0), (54, 0.9957), (55, 0.8719), (56, 1.0), (57, 0.9835), (58, 0.9503), (59, 0.972)]",0.968986957,0.8719,16,0.52173913,7,5,12,23
113,Scenario,10000,normal,0.25,0.1,16,8,263.520129,58,1,3,0.98,10,0,0,5.6428,0.7466,0.3931,0.1209,126,"[(30, 0.9206), (31, 0.979), (32, 0.9978), (33, 0.9979), (34, 1.0), (35, 0.9410000000000001), (36, 0.9317), (43, 0.9198), (45, 0.9918), (46, 0.9846), (47, 0.9662), (48, 1.0), (49, 0.9947), (50, 0.902), (52, 0.9816), (53, 1.0), (54, 0.9851), (55, 0.8719), (56, 0.8931), (57, 0.9835), (58, 0.9503), (59, 0.972)]",0.962027273,0.8719,14,0.545454545,8,4,12,22
114,Scenario,10000,normal,0.25,0.1,12,8,50.4643209,58,1,3,0.98,10,0,0,5.2928,0.1274,0.4185,0.0231,96,"[(30, 0.9206), (31, 0.979), (34, 1.0), (35, 1.0), (36, 0.9822), (43, 0.9854), (44, 0.8759), (47, 0.7934), (48, 0.9742999999999999), (49, 1.0), (50, 0.9286), (52, 0.9621), (53, 0.8683), (54, 0.9957), (56, 0.9742), (57, 0.9993), (58, 0.9491), (59, 0.972)]",0.953338889,0.7934,10,0.444444444,3,5,8,18
115,Scenario,10000,normal,0.25,0.1,18,8,713.2307699,58,1,3,0.98,10,0,0,4.4407,0.7577,0.3902,0.1232,97,"[(30, 0.9806), (31, 0.979), (32, 0.9978), (33, 0.9979), (34, 1.0), (35, 0.9410000000000001), (36, 0.9317), (42, 0.9748), (43, 0.9649), (45, 0.9918), (46, 0.9512), (47, 0.9662), (48, 1.0), (49, 0.9599), (50, 0.8949), (52, 0.9816), (53, 1.0), (54, 0.9957), (55, 0.8719), (56, 1.0), (57, 0.9835), (58, 0.9503), (59, 0.972)]",0.968986957,0.8719,16,0.52173913,7,5,12,23
116,Scenario,10000,normal,0.25,0.1,12,8,150.0929382,57,1,3,0.98,100,0,0,0.6439,0.0288,0.1046,0.0054,45,"[(30, 0.9964), (31, 0.979), (34, 0.9998), (35, 1.0), (36, 0.9995), (43, 0.9854), (44, 0.987), (47, 0.9823), (48, 0.9971), (49, 1.0), (50, 1.0), (52, 0.9912), (54, 0.9691), (56, 0.9788), (57, 1.0), (58, 1.0), (59, 1.0)]",0.992094118,0.9691,9,0.941176471,8,8,16,17
117,Scenario,10000,normal,0.25,0.1,16,8,809.4020801,57,1,3,0.98,100,0,0,1.0717,0.0795,0.169,0.016,36,"[(30, 0.9882), (31, 0.9613), (34, 0.9901), (35, 1.0), (36, 0.9995), (43, 0.9876), (45, 0.9642), (46, 0.9925), (47, 0.99), (48, 0.9971), (49, 0.9961), (50, 0.9891), (51, 0.9641), (52, 0.9911), (53, 0.9994), (54, 0.968), (57, 1.0), (58, 0.9983), (59, 1.0)]",0.988242105,0.9613,13,0.789473684,10,5,15,19
118,Scenario,10000,normal,0.25,0.1,14,8,164.365618,58,1,3,0.98,10,0,0,10.3118,1.6092,0.5404,0.2142,137,"[(30, 0.9206), (31, 0.979), (34, 1.0), (35, 0.9410000000000001), (36, 0.9317), (43, 0.9854), (44, 0.8759), (46, 0.9126), (47, 0.7934), (49, 0.9502), (50, 0.7832), (52, 0.9996), (53, 1.0), (54, 0.9117), (55, 0.8240000000000001), (56, 0.9173), (57, 0.9993), (58, 0.8748), (59, 0.972)]",0.924826316,0.7832,12,0.315789474,3,3,6,19
119,Scenario,10000,normal,0.25,0.1,14,8,166.225199,58,1,3,0.98,10,0,0,10.3118,1.6092,0.5404,0.2142,137,"[(30, 0.9206), (31, 0.979), (34, 1.0), (35, 0.9410000000000001), (36, 0.9317), (43, 0.9854), (44, 0.8759), (46, 0.9126), (47, 0.7934), (49, 0.9502), (50, 0.7832), (52, 0.9996), (53, 1.0), (54, 0.9117), (55, 0.8240000000000001), (56, 0.9173), (57, 0.9993), (58, 0.8748), (59, 0.972)]",0.924826316,0.7832,12,0.315789474,3,3,6,19
