Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
4394,EVT,10000,normal,0.25,0.1,14,8,157.6179008,58,1,3,2.05,0,0.2,0.1,0.1354,0.0114,0.2142,0.0181,20,"[(30, 0.9727), (31, 0.9695), (34, 1.0), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9919), (47, 0.9759), (48, 0.9986), (49, 0.988), (50, 0.9862), (52, 0.9952), (53, 0.9875), (54, 0.9866), (55, 0.9698), (56, 1.0), (57, 0.9786), (58, 0.9802), (59, 0.9929)]",0.986573684,0.9695,12,0.842105263,11,5,16,19
4395,EVT,10000,normal,0.25,0.1,8,8,30.14509201,59,1,3,2.05,0,0.35,0.1,0.0139,0,0.0424,0,10,"[(34, 0.9848), (35, 0.9937), (36, 0.998), (43, 0.9991), (44, 0.9996), (50, 0.9994), (52, 0.9968), (53, 1.0), (54, 0.9954), (56, 0.9907), (57, 0.9999), (58, 0.999), (59, 1.0)]",0.996646154,0.9848,7,1,7,6,13,13
4396,EVT,10000,normal,0.25,0.1,12,8,59.6994319,58,1,3,2.05,0,0.3,0.1,0.0337,0.0035,0.0867,0.0093,10,"[(30, 0.9972), (31, 0.9975), (34, 0.9848), (35, 1.0), (36, 0.9988), (43, 0.9991), (44, 0.9996), (47, 0.9808), (48, 0.9991), (49, 0.9954), (50, 0.9979), (52, 0.9785), (53, 0.998), (54, 0.9892), (56, 0.9907), (57, 0.9987), (58, 1.0), (59, 1.0)]",0.994738889,0.9785,10,1,10,8,18,18
4397,EVT,10000,normal,0.25,0.1,14,8,159.114912,58,1,3,2.05,0,0.2,0.1,0.1354,0.0114,0.2142,0.0181,20,"[(30, 0.9727), (31, 0.9695), (34, 1.0), (35, 1.0), (36, 0.9927), (43, 0.9786), (44, 0.9919), (47, 0.9759), (48, 0.9986), (49, 0.988), (50, 0.9862), (52, 0.9952), (53, 0.9875), (54, 0.9866), (55, 0.9698), (56, 1.0), (57, 0.9786), (58, 0.9802), (59, 0.9929)]",0.986573684,0.9695,12,0.842105263,11,5,16,19
4398,EVT,10000,normal,0.25,0.1,8,8,23.84370422,59,1,3,2.05,0,0.2,0.1,0.0785,0,0.1339,0.0001,15,"[(30, 0.9853), (31, 0.9627), (34, 1.0), (35, 1.0), (36, 0.9927), (43, 0.9949), (44, 0.9919), (49, 0.9987), (50, 0.9961), (52, 0.994), (53, 0.9875), (54, 1.0), (56, 0.979), (57, 0.9987), (58, 0.9898), (59, 0.9773)]",0.9905375,0.9627,7,0.9375,7,8,15,16
4399,EVT,10000,normal,0.25,0.1,8,8,33.72585297,59,1,3,2.05,0,0.35,0.1,0.0139,0,0.0424,0,10,"[(34, 0.9848), (35, 0.9937), (36, 0.998), (43, 0.9991), (44, 0.9996), (50, 0.9994), (52, 0.9968), (53, 1.0), (54, 0.9954), (56, 0.9907), (57, 0.9999), (58, 0.999), (59, 1.0)]",0.996646154,0.9848,7,1,7,6,13,13
4400,EVT,10000,normal,0.25,0.1,12,8,59.74815607,58,1,3,2.05,0,0.3,0.1,0.0337,0.0035,0.0867,0.0093,10,"[(30, 0.9972), (31, 0.9975), (34, 0.9848), (35, 1.0), (36, 0.9988), (43, 0.9991), (44, 0.9996), (47, 0.9808), (48, 0.9991), (49, 0.9954), (50, 0.9979), (52, 0.9785), (53, 0.998), (54, 0.9892), (56, 0.9907), (57, 0.9987), (58, 1.0), (59, 1.0)]",0.994738889,0.9785,10,1,10,8,18,18
4401,EVT,10000,normal,0.25,0.1,16,8,356.495976,59,1,3,2.05,0,0.15,0.1,0.5434,0.0256,0.3698,0.0275,75,"[(30, 0.9872), (31, 0.9695), (32, 0.9823), (33, 0.9634), (34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9786), (45, 0.9796), (46, 1.0), (47, 0.9759), (48, 0.9986), (49, 0.9954), (50, 0.9363), (51, 0.9112), (52, 0.9999), (53, 0.9875), (54, 0.9527), (55, 0.9698), (56, 0.9772), (57, 0.9786), (58, 0.9601), (59, 1.0)]",0.977447826,0.9112,15,0.695652174,10,6,16,23
4402,EVT,10000,normal,0.25,0.1,10,8,29.24923301,58,1,3,2.05,0,0.25,0.1,0.0475,0,0.0822,0,15,"[(34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9991), (44, 0.9919), (50, 1.0), (52, 0.9805), (53, 0.9875), (54, 0.9922), (56, 0.9907), (57, 0.9999), (58, 0.9886), (59, 1.0)]",0.992915385,0.9805,8,1,8,5,13,13
4403,EVT,10000,normal,0.25,0.1,16,8,359.0662889,59,1,3,2.05,0,0.15,0.1,0.5434,0.0256,0.3698,0.0275,75,"[(30, 0.9872), (31, 0.9695), (32, 0.9823), (33, 0.9634), (34, 0.9848), (35, 1.0), (36, 0.9927), (43, 0.9786), (45, 0.9796), (46, 1.0), (47, 0.9759), (48, 0.9986), (49, 0.9954), (50, 0.9363), (51, 0.9112), (52, 0.9999), (53, 0.9875), (54, 0.9527), (55, 0.9698), (56, 0.9772), (57, 0.9786), (58, 0.9601), (59, 1.0)]",0.977447826,0.9112,15,0.695652174,10,6,16,23
